Institution,Fiscal Year,Study Level,Gender Group,HEADCOUNT
Lakehead,2021-2022,Undergraduate,Female,"3,289"
Lakehead,2021-2022,Undergraduate,Male,"2,246"
Lakehead,2021-2022,Undergraduate,N/A or Another,126
Lakehead,2021-2022,Graduate,Female,788
Lakehead,2021-2022,Graduate,Male,639
Lakehead,2021-2022,Graduate,N/A or Another,*
Lakehead,2022-2023,Undergraduate,Female,"3,273"
Lakehead,2022-2023,Undergraduate,Male,"2,175"
Lakehead,2022-2023,Undergraduate,N/A or Another,139
Lakehead,2022-2023,Graduate,Female,823
Lakehead,2022-2023,Graduate,Male,637
Lakehead,2022-2023,Graduate,N/A or Another,*
Lakehead,2023-2024,Undergraduate,Female,"3,292"
Lakehead,2023-2024,Undergraduate,Male,"2,213"
Lakehead,2023-2024,Undergraduate,N/A or Another,170
Lakehead,2023-2024,Graduate,Female,975
Lakehead,2023-2024,Graduate,Male,760
Lakehead,2023-2024,Graduate,N/A or Another,12
Lakehead,2024-2025,Undergraduate,Female,3399
Lakehead,2024-2025,Undergraduate,Male,2245
Lakehead,2024-2025,Undergraduate,N/A or Another,205
Lakehead,2024-2025,Graduate,Female,978
Lakehead,2024-2025,Graduate,Male,806
Lakehead,2024-2025,Graduate,N/A or Another,17
Laurentian,2012-2013,Undergraduate,Female,"3,862"
Laurentian,2012-2013,Undergraduate,Male,"2,417"
Laurentian,2012-2013,Graduate,Female,225
Laurentian,2012-2013,Graduate,Male,178
Laurentian,2013-2014,Undergraduate,Female,"3,791"
Laurentian,2013-2014,Undergraduate,Male,"2,501"
Laurentian,2013-2014,Graduate,Female,260
Laurentian,2013-2014,Graduate,Male,202
Laurentian,2014-2015,Undergraduate,Female,"3,794"
Laurentian,2014-2015,Undergraduate,Male,"2,541"
Laurentian,2014-2015,Graduate,Female,280
Laurentian,2014-2015,Graduate,Male,196
Laurentian,2015-2016,Undergraduate,Female,"3,970"
Laurentian,2015-2016,Undergraduate,Male,"2,654"
Laurentian,2015-2016,Graduate,Female,308
Laurentian,2015-2016,Graduate,Male,199
Laurentian,2016-2017,Undergraduate,Female,"3,873"
Laurentian,2016-2017,Undergraduate,Male,"2,649"
Laurentian,2016-2017,Graduate,Female,302
Laurentian,2016-2017,Graduate,Male,204
Laurentian,2017-2018,Undergraduate,Female,"3,719"
Laurentian,2017-2018,Undergraduate,Male,"2,603"
Laurentian,2017-2018,Undergraduate,N/A or Another,*
Laurentian,2017-2018,Graduate,Female,291
Laurentian,2017-2018,Graduate,Male,201
Laurentian,2018-2019,Undergraduate,Female,"3,656"
Laurentian,2018-2019,Undergraduate,Male,"2,486"
Laurentian,2018-2019,Undergraduate,N/A or Another,14
Laurentian,2018-2019,Graduate,Female,339
Laurentian,2018-2019,Graduate,Male,232
Laurentian,2019-2020,Undergraduate,Female,"3,706"
Laurentian,2019-2020,Undergraduate,Male,"2,471"
Laurentian,2019-2020,Undergraduate,N/A or Another,19
Laurentian,2019-2020,Graduate,Female,380
Laurentian,2019-2020,Graduate,Male,264
Laurentian,2019-2020,Graduate,N/A or Another,*
Laurentian,2020-2021,Undergraduate,Female,"3,936"
Laurentian,2020-2021,Undergraduate,Male,"2,357"
Laurentian,2020-2021,Undergraduate,N/A or Another,33
Laurentian,2020-2021,Graduate,Female,405
Laurentian,2020-2021,Graduate,Male,304
Laurentian,2020-2021,Graduate,N/A or Another,*
Laurentian,2021-2022,Undergraduate,Female,"3,346"
Laurentian,2021-2022,Undergraduate,Male,"1,971"
Laurentian,2021-2022,Undergraduate,N/A or Another,18
Laurentian,2021-2022,Graduate,Female,344
Laurentian,2021-2022,Graduate,Male,290
Laurentian,2021-2022,Graduate,N/A or Another,*
Laurentian,2022-2023,Undergraduate,Female,"3,124"
Laurentian,2022-2023,Undergraduate,Male,"1,724"
Laurentian,2022-2023,Undergraduate,N/A or Another,25
Laurentian,2022-2023,Graduate,Female,392
Laurentian,2022-2023,Graduate,Male,357
Laurentian,2022-2023,Graduate,N/A or Another,*
Laurentian,2023-2024,Undergraduate,Female,"3,025"
Laurentian,2023-2024,Undergraduate,Male,"1,629"
Laurentian,2023-2024,Undergraduate,N/A or Another,76
Laurentian,2023-2024,Graduate,Female,641
Laurentian,2023-2024,Graduate,Male,870
Laurentian,2023-2024,Graduate,N/A or Another,*
Laurentian,2024-2025,Undergraduate,Female,2977
Laurentian,2024-2025,Undergraduate,Male,1530
Laurentian,2024-2025,Undergraduate,N/A or Another,118
Laurentian,2024-2025,Graduate,Female,723
Laurentian,2024-2025,Graduate,Male,984
Laurentian,2024-2025,Graduate,N/A or Another,*
McMaster,2012-2013,Undergraduate,Female,"12,125"
McMaster,2012-2013,Undergraduate,Male,"10,124"
McMaster,2012-2013,Graduate,Female,"1,722"
McMaster,2012-2013,Graduate,Male,"1,822"
McMaster,2013-2014,Undergraduate,Female,"12,260"
McMaster,2013-2014,Undergraduate,Male,"10,352"
McMaster,2013-2014,Graduate,Female,"1,713"
McMaster,2013-2014,Graduate,Male,"1,809"
McMaster,2014-2015,Undergraduate,Female,"12,488"
McMaster,2014-2015,Undergraduate,Male,"10,372"
McMaster,2014-2015,Graduate,Female,"1,743"
McMaster,2014-2015,Graduate,Male,"1,880"
McMaster,2015-2016,Undergraduate,Female,"13,429"
McMaster,2015-2016,Undergraduate,Male,"11,365"
McMaster,2015-2016,Graduate,Female,"1,824"
McMaster,2015-2016,Graduate,Male,"1,792"
McMaster,2016-2017,Undergraduate,Female,"14,011"
McMaster,2016-2017,Undergraduate,Male,"11,996"
McMaster,2016-2017,Undergraduate,N/A or Another,0
McMaster,2016-2017,Graduate,Female,"1,936"
McMaster,2016-2017,Graduate,Male,"1,879"
McMaster,2017-2018,Undergraduate,Female,"14,452"
McMaster,2017-2018,Undergraduate,Male,"12,082"
McMaster,2017-2018,Undergraduate,N/A or Another,100
McMaster,2017-2018,Graduate,Female,"1,967"
McMaster,2017-2018,Graduate,Male,"1,941"
McMaster,2017-2018,Graduate,N/A or Another,*
McMaster,2018-2019,Undergraduate,Female,"15,062"
McMaster,2018-2019,Undergraduate,Male,"12,460"
McMaster,2018-2019,Undergraduate,N/A or Another,197
McMaster,2018-2019,Graduate,Female,"2,142"
McMaster,2018-2019,Graduate,Male,"2,028"
McMaster,2018-2019,Graduate,N/A or Another,12
McMaster,2019-2020,Undergraduate,Female,"15,757"
McMaster,2019-2020,Undergraduate,Male,"12,814"
McMaster,2019-2020,Undergraduate,N/A or Another,263
McMaster,2019-2020,Graduate,Female,"2,289"
McMaster,2019-2020,Graduate,Male,"2,056"
McMaster,2019-2020,Graduate,N/A or Another,27
McMaster,2020-2021,Undergraduate,Female,"16,706"
McMaster,2020-2021,Undergraduate,Male,"13,467"
McMaster,2020-2021,Undergraduate,N/A or Another,387
McMaster,2020-2021,Graduate,Female,"2,288"
McMaster,2020-2021,Graduate,Male,"1,889"
McMaster,2020-2021,Graduate,N/A or Another,38
McMaster,2021-2022,Undergraduate,Female,"17,159"
McMaster,2021-2022,Undergraduate,Male,"13,574"
McMaster,2021-2022,Undergraduate,N/A or Another,436
McMaster,2021-2022,Graduate,Female,"2,406"
McMaster,2021-2022,Graduate,Male,"2,023"
McMaster,2021-2022,Graduate,N/A or Another,50
McMaster,2022-2023,Undergraduate,Female,"17,273"
McMaster,2022-2023,Undergraduate,Male,"13,597"
McMaster,2022-2023,Undergraduate,N/A or Another,505
McMaster,2022-2023,Graduate,Female,"2,489"
McMaster,2022-2023,Graduate,Male,"2,129"
McMaster,2022-2023,Graduate,N/A or Another,51
McMaster,2023-2024,Undergraduate,Female,"17,378"
McMaster,2023-2024,Undergraduate,Male,"13,440"
McMaster,2023-2024,Undergraduate,N/A or Another,557
McMaster,2023-2024,Graduate,Female,"2,545"
McMaster,2023-2024,Graduate,Male,"2,209"
McMaster,2023-2024,Graduate,N/A or Another,52
McMaster,2024-2025,Undergraduate,Female,17473
McMaster,2024-2025,Undergraduate,Male,13200
McMaster,2024-2025,Undergraduate,N/A or Another,613
McMaster,2024-2025,Graduate,Female,2603
McMaster,2024-2025,Graduate,Male,2120
McMaster,2024-2025,Graduate,N/A or Another,53
Metropolitan,2012-2013,Undergraduate,Female,"11,251"
Metropolitan,2012-2013,Undergraduate,Male,"9,478"
Metropolitan,2012-2013,Undergraduate,N/A or Another,*
Metropolitan,2012-2013,Graduate,Female,910
Metropolitan,2012-2013,Graduate,Male,"1,073"
Metropolitan,2012-2013,Graduate,N/A or Another,14
Metropolitan,2013-2014,Undergraduate,Female,"12,062"
Metropolitan,2013-2014,Undergraduate,Male,"9,953"
Metropolitan,2013-2014,Undergraduate,N/A or Another,*
Metropolitan,2013-2014,Graduate,Female,955
Metropolitan,2013-2014,Graduate,Male,"1,026"
Metropolitan,2013-2014,Graduate,N/A or Another,*
Metropolitan,2014-2015,Undergraduate,Female,"13,528"
Metropolitan,2014-2015,Undergraduate,Male,"10,877"
Metropolitan,2014-2015,Undergraduate,N/A or Another,*
Metropolitan,2014-2015,Graduate,Female,"1,021"
Metropolitan,2014-2015,Graduate,Male,"1,033"
Metropolitan,2014-2015,Graduate,N/A or Another,0
Metropolitan,2015-2016,Undergraduate,Female,"14,504"
Metropolitan,2015-2016,Undergraduate,Male,"11,516"
Metropolitan,2015-2016,Undergraduate,N/A or Another,*
Metropolitan,2015-2016,Graduate,Female,"1,022"
Metropolitan,2015-2016,Graduate,Male,"1,105"
Metropolitan,2015-2016,Graduate,N/A or Another,*
Metropolitan,2016-2017,Undergraduate,Female,"15,753"
Metropolitan,2016-2017,Undergraduate,Male,"11,956"
Metropolitan,2016-2017,Undergraduate,N/A or Another,31
Metropolitan,2016-2017,Graduate,Female,"1,123"
Metropolitan,2016-2017,Graduate,Male,"1,133"
Metropolitan,2016-2017,Graduate,N/A or Another,13
Metropolitan,2017-2018,Undergraduate,Female,"16,101"
Metropolitan,2017-2018,Undergraduate,Male,"12,035"
Metropolitan,2017-2018,Undergraduate,N/A or Another,126
Metropolitan,2017-2018,Graduate,Female,"1,178"
Metropolitan,2017-2018,Graduate,Male,"1,141"
Metropolitan,2017-2018,Graduate,N/A or Another,13
Metropolitan,2018-2019,Undergraduate,Female,"16,386"
Metropolitan,2018-2019,Undergraduate,Male,"12,184"
Metropolitan,2018-2019,Undergraduate,N/A or Another,262
Metropolitan,2018-2019,Graduate,Female,"1,256"
Metropolitan,2018-2019,Graduate,Male,"1,132"
Metropolitan,2018-2019,Graduate,N/A or Another,16
Metropolitan,2019-2020,Undergraduate,Female,"16,349"
Metropolitan,2019-2020,Undergraduate,Male,"12,041"
Metropolitan,2019-2020,Undergraduate,N/A or Another,317
Metropolitan,2019-2020,Graduate,Female,"1,352"
Metropolitan,2019-2020,Graduate,Male,"1,215"
Metropolitan,2019-2020,Graduate,N/A or Another,*
Metropolitan,2020-2021,Undergraduate,Female,"17,655"
Metropolitan,2020-2021,Undergraduate,Male,"13,300"
Metropolitan,2020-2021,Undergraduate,N/A or Another,349
Metropolitan,2020-2021,Graduate,Female,"1,460"
Metropolitan,2020-2021,Graduate,Male,"1,225"
Metropolitan,2020-2021,Graduate,N/A or Another,16
Metropolitan,2021-2022,Undergraduate,Female,"17,996"
Metropolitan,2021-2022,Undergraduate,Male,"13,445"
Metropolitan,2021-2022,Undergraduate,N/A or Another,365
Metropolitan,2021-2022,Graduate,Female,"1,446"
Metropolitan,2021-2022,Graduate,Male,"1,276"
Metropolitan,2021-2022,Graduate,N/A or Another,16
Metropolitan,2022-2023,Undergraduate,Female,"17,104"
Metropolitan,2022-2023,Undergraduate,Male,"12,888"
Metropolitan,2022-2023,Undergraduate,N/A or Another,446
Metropolitan,2022-2023,Graduate,Female,"1,425"
